protein	n_proteins	protein_score	n_peptides	abundance_1	abundance_2	abundance_3	abundance_4	abundance_5	abundance_6	abundance_7	abundance_8	abundance_9
sp|Q9UJX2|CDC23_HUMAN	1	0.969361495	4	2498256	143396944	0	0	345157154	80235162	19935650	23681922	7225757
sp|Q9UJX4|APC5_HUMAN	1	0.96757098	4	0	43399560	0	0	19430097	13612410	0	0	0
sp|Q9UK61|TASOR_HUMAN	1	0.85598976	2	0	74448462	0	0	102064136	0	0	0	0
sp|Q9UKF6|CPSF3_HUMAN	1	0.994772238	7	0	12151030	0	0	52874680	115499478	183367996	134836858	135692376
sp|Q9UKM9|RALY_HUMAN	1	0.963260558	4	116792028	729941838	76852168	117381544	1082968574	739670272	220029992	128178000	122083600
sp|Q9UKN8|TF3C4_HUMAN	1	1	35	1911848	30321692259	1308897	2421958	34587362952	31611780604	167975696	175776096	115080304
sp|Q9UKU6|TRHDE_HUMAN	1	0.860637506	2	0	33749872	0	0	8599779	210132514	0	0	8862730
sp|Q9UKV3|ACINU_HUMAN	1	0.997631055	9	0	1497353312	9296174	9024198	1273095872	1265464952	8707472	0	9344554
sp|Q9UKX7|NUP50_HUMAN	1	0.944468785	3	0	67212064	0	0	99717588	90679634	0	0	0
sp|Q9UL03|INT6_HUMAN	1	0.99737843	10	3872605	162873022	0	4328074	132785588	55875198	21541020	0	0
sp|Q9ULG1|INO80_HUMAN	1	0.996810309	9	0	89521298	0	0	162654778	136372654	0	97539512	7388376
sp|Q9UMN6|KMT2B_HUMAN	1	0.975260492	5	0	150516220	0	0	111264378	1471159384	0	0	0
sp|Q9UMS4|PRP19_HUMAN	1	0.999655201	11	166955180	2884868952	279531084	461162256	2840809350	3165424940	226874414	304779896	321950272
sp|Q9UNQ2|DIM1_HUMAN	1	0.864328154	2	17702680	220228844	23548220	23319970	185386304	149450704	30238770	28381510	22906330
sp|Q9UNX4|WDR3_HUMAN	1	0.878695199	2	1293181	5049189	895707.125	2110077	0	0	0	0	0
sp|Q9UPN6|SCAF8_HUMAN	1	0.917757236	2	0	7509955	0	0	0	4155239	0	0	0
sp|Q9UQE7|SMC3_HUMAN	1	0.998756262	10	2774414	277208233	4807860	15330380	93403584	91551600	0	0	5134196
sp|Q9Y224|RTRAF_HUMAN	1	0.939383212	3	0	96589067	7391089	7452837	43974608	54667185	0	0	0
sp|Q9Y230|RUVB2_HUMAN	1	0.999994661	17	231019200	3914111726	99529768	0	3188709871	3044665183	135390980	110813600	176431448
sp|Q9Y262|EIF3L_HUMAN	1	0.92770901	2	0	72054428	0	3749897	0	68852748	0	0	0
sp|Q9Y265|RUVB1_HUMAN	1	0.99999899	20	149079894	3407239056	117603440	101845598	3458993550	4219712836	185130216	277163002	143612562
sp|Q9Y2R4|DDX52_HUMAN	1	0.926920557	2	0	72266150	0	0	5603653	8909296	0	0	0
sp|Q9Y2U8|MAN1_HUMAN	1	0.964377437	4	0	210193607	0	0	337099651	354098487	0	0	0
sp|Q9Y2W1|TR150_HUMAN	1	0.969510777	5	0	131832564	0	0	231915496	89020672	0	0	0
sp|Q9Y2X3|NOP58_HUMAN	1	0.994633429	7	19810840	8993899788	27449504	21888375	10026395166	13986514342	0	0	0
sp|Q9Y2X9|ZN281_HUMAN	1	0.908437682	2	0	15685140	0	0	31073220	162139600	0	0	39648160
sp|Q9Y383|LC7L2_HUMAN	1	0.870600988	1	0	69556384	0	0	0	39761220	0	0	0
sp|Q9Y3B4|SF3B6_HUMAN	1	0.985768888	5	0	1179537712	0	25798000	1192603244	766683088	21490890	0	0
sp|Q9Y3C1|NOP16_HUMAN	1	0.949399545	4	0	122697980	0	0	80947042	159251248	0	0	0
sp|Q9Y3C6|PPIL1_HUMAN	1	0.916416298	3	0	246396304	18923840	27459670	187132352	239544400	0	0	0
sp|Q9Y3U8|RL36_HUMAN	1	0.98778109	7	0	4785916480	0	0	5484210841	837400480	5866257	5774923.594	130900600
sp|Q9Y3Y2|CHTOP_HUMAN	1	0.936976019	3	0	181614638	0	0	236606066	184679688	31396040	33548662	7055020
sp|Q9Y483|MTF2_HUMAN	1	1	43	0	51094237410	0	0	52747207760	50765003584	17939340704	15995342550	15452900124
sp|Q9Y4A5|TRRAP_HUMAN	1	0.999860167	14	0	223702172	0	0	210394290	159802329	0	0	0
sp|Q9Y4C8|RBM19_HUMAN	1	0.898853065	2	0	10501300	0	0	11713220	6178983	0	0	0
sp|Q9Y4W2|LAS1L_HUMAN	1	0.896845017	2	0	1034121072	0	0	840691792	869768880	191543648	156775928	34299900
sp|Q9Y580|RBM7_HUMAN	1	0.891257183	2	0	164347996	2923720	11740760	149256992	159188304	0	0	0
sp|Q9Y5B6|PAXB1_HUMAN	1	0.90127841	2	0	29651000	0	0	22782420	0	0	0	0
sp|Q9Y5B9|SP16H_HUMAN	1	1	38	107490513	5552340725	89746870	143308840	6642754428	5730016483	244439744	315247692	385535791
sp|Q9Y5Q8|TF3C5_HUMAN	1	0.999934427	15	0	13331667142	0	0	12872098016	11168608200	0	0	0
sp|Q9Y5Q9|TF3C3_HUMAN	1	0.999999994	24	13884720	25346363882	32084280	0	21746719742	23497983982	20824000	0	0
sp|Q9Y5S9|RBM8A_HUMAN	1	0.992551665	6	0	1207588268	0	0	1200657072	377472866	0	0	0
sp|Q9Y6K1|DNM3A_HUMAN	1	0.99999509	16	21011230	1189921338	2608402	25559136	1125477734	1363744320	63095500	61079309	96318992
sp|Q9Y6X3|SCC4_HUMAN	1	0.878179537	2	0	26027710	0	0	0	51402810	0	0	0
