protein	n_proteins	protein_score	n_peptides	abundance_1	abundance_2	abundance_3	abundance_4	abundance_5	abundance_6	abundance_7	abundance_8	abundance_9
sp|P41091|IF2G_HUMAN/sp|Q2VIR3|IF2GL_HUMAN	2	0.926709796	5	93689997	0	76895157	111781910	73958520	3544172	27151380	13398651	22765560
sp|P42167|LAP2B_HUMAN	1	0.982124381	2	5602581	355097984	43958060	49468128	384833792	379638400	48226952	43529072	50457432
sp|P42285|MTREX_HUMAN	1	0.999989019	16	44792632	777953446	37079968	50605508	419417570	1467684578	0	0	0
sp|P42357|HUTH_HUMAN	1	0.903510718	3	16341049.13	0	12756330	38845220	0	0	0	0	0
sp|P42677|RS27_HUMAN	1	0.934337372	2	0	623927176	0	0	464229400	558484800	0	0	0
sp|P42766|RL35_HUMAN	1	0.971242433	4	36136992	2211402528	32663870	0	1942121489	2038452336	75266200	67209824	68320520
sp|P43243|MATR3_HUMAN	1	1	36	563716898	9977257898	494870022	921928544	12557366616	11064521150	786453200	867528762	915059950
sp|P43246|MSH2_HUMAN	1	0.88318551	2	0	6237626	0	0	64995242	5860776	0	0	758822.3125
sp|P45973|CBX5_HUMAN	1	0.982398751	5	0	345691820	22722670	0	98611032	385547204	0	31763580	0
sp|P46060|RAGP1_HUMAN	1	0.9426706	3	0	335068104	0	0	42518248	52607888	0	0	0
sp|P46087|NOP2_HUMAN	1	0.901875777	2	0	947522880	0	0	853651200	1842765952	0	0	0
sp|P46100|ATRX_HUMAN	1	0.998213698	10	13514610	340489839	0	25107592	281133808	253140156	20093180	8625873	37613260
sp|P46776|RL27A_HUMAN	1	0.998891343	10	0	1918373219	16836180	25348997	1684066328	1407735392	87283030	20981740	49282420
sp|P46777|RL5_HUMAN	1	0.999863072	14	37158460	1754003204	5596587	40899450	1837354181	2474933558	136799358	124067680	70239680
sp|P46778|RL21_HUMAN	1	0.996881609	8	35452770	2234368568	28718700	0	1906831376	2570507128	38587300	130551090	148261388
sp|P46779|RL28_HUMAN	1	0.995550587	7	30270140	1496646666	0	0	1421462169	1605285484	111275456	98662740	36722940
sp|P46781|RS9_HUMAN	1	0.999969978	16	0	8097955448	89055122	72021136	5287853424	6242067904	443725986	180949200	210262522
sp|P46782|RS5_HUMAN	1	0.999275224	10	171182527	11911129881	110513144	205990111.1	14099505507	9581224504	564287726	481618384	426317808
sp|P46783|RS10_HUMAN	1	0.998716483	5	73517072	1982747576	62167888	66750380	2017968536	832979128	134928240	99860062	85833360
sp|P46939|UTRO_HUMAN	1	0.942660314	1	0	0	0	0	0	0	24585100	0	0
sp|P47929|LEG7_HUMAN	1	0.848435203	2	73177412	0	23135700	35019800	0	0	0	0	0
sp|P48431|SOX2_HUMAN	1	0.984944544	8	0	684758420	0	75003056	1188662215	761385666	41559952	0	0
sp|P49207|RL34_HUMAN	1	0.961836468	4	0	3162529216	38988200	43377740	1023813132	1107942856	84417208	73175272	74039800
sp|P49454|CENPF_HUMAN	1	0.908258718	2	0	253298896	0	0	121996940	103876200	0	0	0
sp|P49711|CTCF_HUMAN	1	0.998671853	7	19996310	249684220	21199644	25579350	341855116	166318360	50946420	102032528	37973900
sp|P49736|MCM2_HUMAN	1	0.901351807	2	67432872	72172732	0	82965424	75292018	111282322	53020800	0	37906872
sp|P49750|YLPM1_HUMAN	1	0.978616467	4	0	88108540	0	0	19851651	13203470	0	0	0
sp|P49756|RBM25_HUMAN	1	0.999823884	13	36589644	3969953053	4137198602	5432048574	1013818584	3145552592	38669820	65781670	87382311
sp|P49790|NU153_HUMAN	1	0.916309579	4	0	187678880	0	0	117721132	133318800	0	50822008	0
