"ProteinID","n_proteins","protein_score","n_peptides","MDA_GD3","MDA_GD2","MDA_GD1","MDA_HG1","MDA_HG3","MDA_HG2","MDA_GD1","MDA_GD2","MDA_GD3","MDA_HG1","MDA_HG2","MDA_HG3","MDA_GD1_sim","MDA_GD2_sim","MDA_GD3_sim","MDA_HG1_sim","MDA_HG2_sim","MDA_HG3_sim"
"sp|O00411|RPOM_HUMAN",1,1,3,0,77531120,59725640,24873510,119261298,23216590,17.9052719668994,18.1661899621117,NA,17.0293139397174,16.9603776672911,18.5968274253833,18.1856604288308,18.0780316306467,17.9959357757454,16.8555572425887,16.6814407396206,16.302320970854
"sp|O00422|SAP18_HUMAN",1,0.998242041,2,129957716,0,0,30541700,181711504,31072060,NA,NA,18.6827196939724,17.2346035209076,17.2518195810703,19.0179308445158,18.4374724343824,18.9734984514012,18.7825530715258,17.2468641554196,17.3697365926747,17.5475126965575
"sp|O00425|IF2B3_HUMAN",1,1,1,0,17726600,19637480,0,0,0,16.7929505430859,16.6905768942916,NA,NA,NA,NA,16.7750753821373,16.7865580644337,16.7350877691915,NA,NA,NA
"sp|O00429|DNM1L_HUMAN",1,1,12,256836335,341889615,303556619,102723020,162656810,188548318,19.5310787046069,19.6499984797697,19.3639496112041,18.4475467977853,19.0548648609182,18.9071530790511,19.3654747132158,19.6804725380407,19.3697004142817,18.8511084944409,18.7211988197672,18.7284410256896
"sp|O00442|RTCA_HUMAN",1,1,4,75490288,108071468,120539448,35444008,31173450,40883888,18.607487626616,18.4983033069754,18.1395145701834,17.3834647698575,17.5262466069694,17.2550773289679,18.4159361476814,18.1680165772485,18.4647558052203,17.5045557267628,17.2666199035731,17.4848200333597
"sp|O00443|P3C2A_HUMAN",1,0.999986696,1,0,0,0,0,12348520,0,NA,NA,NA,NA,NA,16.3290467758004,NA,NA,NA,16.5055022168511,16.323328473096,16.6049318841937
"sp|O00461|GOLI4_HUMAN",1,1,3,28788590,52753742,81080190,128644526,91071402,73419040,18.2109492229099,17.7811452661931,17.1754896860504,18.6725635462337,18.1116938604912,18.3271543941768,17.6152149599011,17.0434988433425,17.9503498965538,18.3276539979211,18.2571068326959,18.3140055148214
"sp|O00468|AGRIN_HUMAN",1,1,5,156256814,123462896,208343678,14697410,27506180,17539620,19.1546995721998,18.631451231645,18.8670114552299,16.5031818457494,16.6799728799074,17.1299212646621,18.7861546105908,19.0325382201245,19.01457963264,16.2811590850796,16.4605344453938,16.3948222616696
"sp|O00469|PLOD2_HUMAN",1,1,2,0,0,0,97706180,80177820,92728368,NA,NA,NA,18.3974753698743,18.3451850031392,18.1997574759839,NA,NA,NA,18.3212815032247,18.4518969951044,18.1949789621762
"sp|O00471|EXOC5_HUMAN",1,0.999976062,2,0,5050589,463281743,0,0,0,19.9538459431783,15.4350154281137,NA,NA,NA,NA,19.1227611631221,17.0912735149323,19.7243887168783,NA,NA,NA
